year,race_name,weather,Course_Type,laps,distance
2015,British Grand Prix,3,Permanent racing facility,52,306.198
2015,Hungarian Grand Prix,1,Permanent racing facility,69,302.249
2015,Belgian Grand Prix,2,Permanent racing facility,43,301.048
2015,Italian Grand Prix,2,Permanent racing facility,53,306.720
2015,Singapore Grand Prix,1,Temporary street circuit,61,308.828
2015,Japanese Grand Prix,2,Permanent racing facility,53,307.471
2015,Russian Grand Prix,2,Temporary street circuit,53,309.745
2015,United States Grand Prix,2,Permanent racing facility,56,308.405
2015,Mexican Grand Prix,2,Permanent racing facility,71,305.354
2015,Brazilian Grand Prix,1,Permanent racing facility,71,305.909
2015,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.355
2016,Australian Grand Prix,2,Temporary street circuit,57,302.271
2016,Bahrain Grand Prix,1,Permanent Racing Facility,57,308.238
2016,Chinese Grand Prix,1,Permanent racing facility,56,305.066
2016,Russian Grand Prix,2,Permanent racing facility,53,309.745
2016,Spanish Grand Prix,2,Permanent racing facility,66,307.104
2016,Monaco Grand Prix,3,Street circuit,78,260.286
2016,Canadian Grand Prix,2,Street circuit,70,305.270
2016,European Grand Prix,2,Temporary street circuit,51,306.049
2016,Austrian Grand Prix,2,Permanent racing facility,71,307.146
2016,British Grand Prix,3,Permanent racing facility,52,306.198
2016,German Grand Prix,2,Permanent racing facility,67,306.458
2016,Belgian Grand Prix,2,Permanent racing facility,44,308.052
2016,Italian Grand Prix,3,Permanent racing facility,53,306.720
2016,Singapore Grand Prix,1,Temporary street circuit,61,308.828
2016,Malaysian Grand Prix,1,Permanent racing facility,56,310.408
2016,Japanese Grand Prix,2,Permanent racing facility,53,307.573
2016,United States Grand Prix,3,Permanent racing facility,56,308.405
2016,Mexican Grand Prix,1,Permanent racing facility,71,305.354
2016,Brazilian Grand Prix,3,Permanent racing facility,71,305.909
2016,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.470
2017,Australian Grand Prix,2,Temporary street circuit,57,302.271
2017,Chinese Grand Prix,3,Permanent racing facility,56,305.066
2017,Bahrain Grand Prix,1,Permanent racing facility,57,308.238
2017,Russian Grand Prix,1,Permanent racing facility,52,303.897
2017,Spanish Grand Prix,1,Permanent racing facility,66,307.104
2017,Monaco Grand Prix,1,Street circuit,78,260.286
2017,Canadian Grand Prix,3,Street circuit,70,305.270
2017,Azerbaijan Grand Prix,1,Temporary street circuit,51,306.049
2017,Austrian Grand Prix,2,Permanent racing facility,71,306.452
2017,British Grand Prix,2,Permanent racing facility,51,300.307
2017,Hungarian Grand Prix,1,Permanent racing facility,70,306.630
2017,Belgian Grand Prix,2,Permanent racing facility,44,308.052
2017,Italian Grand Prix,1,Permanent racing facility,53,306.720
2017,Singapore Grand Prix,3,Temporary street circuit,58,293.633
2017,Malaysian Grand Prix,2,Permanent racing facility,56,310.408
2017,Japanese Grand Prix,1,Permanent racing facility,53,307.471
2017,United States Grand Prix,1,Permanent racing facility,56,308.405
2017,Mexican Grand Prix,1,Permanent racing facility,71,305.354
2017,Brazilian Grand Prix,1,Permanent racing facility,71,305.909
2017,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.355
2018,Australian Grand Prix,1,Temporary street circuit,58,307.574
2018,Bahrain Grand Prix,1,Permanent racing facility,57,308.238
2018,Chinese Grand Prix,1,Permanent racing facility,56,305.066
2018,Azerbaijan Grand Prix,2,Temporary street circuit,51,306.049
2018,Spanish Grand Prix,2,Permanent racing facility,66,307.104
2018,Monaco Grand Prix,1,Street circuit,78,260.286
2018,Canadian Grand Prix,3,Street circuit,68,296.548
2018,French Grand Prix,3,Permanent racing circuit,53,309.690
2018,Austrian Grand Prix,1,Permanent racing facility,71,306.452
2018,British Grand Prix,1,Permanent racing facility,52,306.198
2018,German Grand Prix,3,Permanent racing facility,67,306.458
2018,Hungarian Grand Prix,1,Permanent racing facility,70,306.630
2018,Belgian Grand Prix,1,Permanent racing facility,44,308.052
2018,Italian Grand Prix,1,Permanent racing facility,53,306.720
2018,Singapore Grand Prix,1,Temporary street circuit,61,308.706
2018,Russian Grand Prix,1,Permanent racing facility,53,309.745
2018,Japanese Grand Prix,1,Permanent racing facility,53,307.471
2018,United States Grand Prix,1,Permanent racing facility,56,308.405
2018,Mexican Grand Prix,1,Permanent racing facility,71,305.354
2018,Brazilian Grand Prix,1,Permanent racing facility,71,305.879
2018,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.355
2019,Australian Grand Prix,1,Temporary street circuit,58,307.574
2019,Bahrain Grand Prix,1,Permanent racing facility,57,308.238
2019,Chinese Grand Prix,1,Permanent racing facility,56,305.066
2019,Azerbaijan Grand Prix,1,Temporary street circuit,51,306.049
2019,Spanish Grand Prix,1,Permanent racing facility,66,307.104
2019,Monaco Grand Prix,2,Street circuit,78,260.286
2019,Canadian Grand Prix,3,Street circuit,70,305.270
2019,French Grand Prix,1,Permanent racing circuit,53,309.690
2019,Austrian Grand Prix,1,Permanent racing facility,71,306.452
2019,British Grand Prix,2,Permanent racing facility,52,306.198
2019,German Grand Prix,3,Permanent racing facility,64,292.736
2019,Hungarian Grand Prix,1,Permanent racing facility,70,306.630
2019,Belgian Grand Prix,2,Permanent racing facility,44,308.052
2019,Italian Grand Prix,2,Permanent racing facility,53,306.720
